Order Date,Product Name,Products,Category,Product_Category,Region,Quantity,Sales,Profit
03/05/2024,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,North,7,"$5,712 ",$651 
7/18/2023,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,North,3,"$2,739 ",$573 
6/25/2023,Keyboard,Microsoft Surface Keyboard,Accessories,Computer Accessories,West,5,"$1,400 ",$214 
11/13/2023,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,North,3,"$3,477 ",$939 
07/09/2022,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,North,5,"$3,475 ",$570 
12/11/2023,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,West,9,"$6,138 ","$1,562 "
3/18/2023,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,West,5,"$3,665 ",$407 
08/09/2024,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,North,2,"$2,372 ",$206 
05/04/2024,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,North,2,"$1,382 ",$211 
09/04/2022,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,West,1,"$1,126 ",$194 
10/21/2022,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,West,8,"$1,376 ",$152 
1/22/2024,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,West,4,$988 ,$148 
04/09/2023,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,North,9,"$10,773 ","$1,907 "
02/07/2023,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,South,4,"$3,252 ",$713 
05/04/2023,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,North,3,"$2,739 ",$203 
4/18/2023,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,South,7,"$2,709 ",$703 
12/12/2022,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,West,3,$936 ,$201 
09/11/2022,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,West,4,"$3,720 ",$411 
3/26/2024,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,West,5,"$5,320 ",$717 
9/20/2023,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,East,4,$804 ,$122 
5/25/2023,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,North,8,"$1,224 ",$247 
12/04/2022,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,South,9,"$8,667 ",$782 
06/10/2022,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,West,3,"$3,018 ",$320 
02/05/2023,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,West,5,"$4,325 ","$1,023 "
1/20/2024,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,South,3,"$1,557 ",$181 
1/27/2022,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,South,6,"$3,672 ","$1,003 "
3/29/2023,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,West,1,$333 ,$72 
1/17/2022,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,West,4,"$2,384 ",$577 
11/26/2024,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,West,6,$888 ,$210 
9/19/2024,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,West,5,"$3,280 ",$954 
7/20/2023,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,South,7,"$1,239 ",$177 
05/03/2024,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,East,8,"$5,880 ",$437 
09/03/2022,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,West,2,"$1,668 ",$437 
07/09/2024,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,West,7,"$4,109 ","$1,038 "
11/17/2022,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,West,7,$595 ,$149 
12/28/2023,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,East,7,"$8,155 ","$1,588 "
5/30/2022,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,South,3,"$1,872 ",$553 
4/17/2024,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,East,6,"$2,124 ",$126 
9/30/2024,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,West,5,"$5,210 ","$1,339 "
06/02/2024,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,South,7,"$5,761 ",$362 
9/26/2022,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,South,7,"$6,895 ","$1,596 "
12/17/2024,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,East,3,"$2,118 ",$317 
10/09/2024,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,North,5,$830 ,$58 
7/14/2023,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,North,1,$851 ,$94 
12/05/2023,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,East,5,"$4,730 ","$1,366 "
06/03/2022,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,West,6,"$5,460 ",$846 
12/28/2024,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,East,5,"$5,795 ",$311 
08/06/2022,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,South,4,"$2,008 ",$338 
06/06/2023,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,South,7,"$2,842 ",$425 
02/01/2024,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,East,4,"$3,404 ",$392 
5/31/2023,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,West,1,"$1,065 ",$229 
6/14/2024,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,West,7,"$2,149 ",$122 
8/14/2024,Keyboard,Microsoft Surface Keyboard,Accessories,Computer Accessories,East,8,"$5,912 ","$1,143 "
02/01/2023,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,West,3,"$3,348 ",$331 
4/28/2024,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,South,3,"$2,409 ",$532 
04/05/2024,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,North,2,$328 ,$40 
1/31/2024,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,West,8,"$6,224 ","$1,561 "
01/09/2024,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,North,5,"$2,530 ",$486 
04/06/2022,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,West,4,"$4,108 ",$462 
5/22/2024,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,South,5,"$1,640 ",$391 
12/30/2023,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,South,1,$111 ,$19 
3/17/2022,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,North,1,$445 ,$129 
5/24/2022,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,North,4,"$3,600 ",$624 
06/09/2024,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,North,3,"$1,335 ",$176 
12/01/2024,Keyboard,Microsoft Surface Keyboard,Accessories,Computer Accessories,South,5,"$3,090 ",$242 
10/20/2023,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,East,5,"$3,910 ",$539 
03/05/2024,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,South,1,$219 ,$33 
12/05/2022,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,West,5,$390 ,$28 
08/05/2022,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,North,6,"$3,294 ",$360 
3/21/2023,Keyboard,Microsoft Surface Keyboard,Accessories,Computer Accessories,West,4,"$4,572 ","$1,038 "
02/08/2022,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,South,7,$980 ,$110 
04/01/2023,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,North,2,"$2,262 ",$532 
12/14/2022,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,South,7,"$7,518 ","$1,656 "
5/14/2022,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,South,1,$873 ,$159 
2/16/2022,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,North,6,"$1,512 ",$423 
8/28/2024,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,West,1,$705 ,$165 
10/30/2023,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,North,8,"$3,256 ",$534 
6/24/2023,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,West,4,$556 ,$82 
5/17/2023,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,East,9,"$7,101 ","$2,106 "
04/06/2023,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,West,9,"$8,802 ","$1,345 "
3/26/2023,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,South,6,"$5,592 ","$1,294 "
10/12/2024,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,North,2,"$1,852 ",$169 
6/26/2022,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,East,1,$195 ,$58 
4/15/2022,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,East,9,"$7,884 ","$2,054 "
12/10/2023,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,East,5,"$4,360 ","$1,161 "
9/23/2024,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,North,6,"$4,920 ",$929 
01/01/2022,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,East,3,"$3,474 ",$565 
02/03/2022,Keyboard,Microsoft Surface Keyboard,Accessories,Computer Accessories,West,1,$930 ,$223 
3/14/2023,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,South,7,"$1,421 ",$248 
8/24/2022,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,North,2,$634 ,$161 
07/07/2024,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,East,1,$673 ,$114 
4/13/2022,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,South,5,"$3,135 ",$788 
05/08/2024,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,East,6,$882 ,$184 
09/10/2024,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,East,4,"$1,192 ",$213 
6/18/2024,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,South,3,$390 ,$112 
09/10/2024,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,North,1,$834 ,$96 
05/06/2022,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,East,6,$612 ,$84 
6/18/2024,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,West,9,"$8,073 ",$710 
10/29/2023,Keyboard,Microsoft Surface Keyboard,Accessories,Computer Accessories,North,8,"$2,640 ",$724 
11/13/2023,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,North,3,"$3,234 ",$441 
8/21/2022,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,West,5,"$4,435 ",$356 
03/04/2024,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,North,2,"$2,302 ",$305 
4/17/2022,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,East,6,"$1,728 ",$307 
12/20/2023,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,East,4,$228 ,$54 
3/19/2022,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,West,6,"$3,450 ",$706 
07/07/2024,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,South,8,"$7,456 ","$1,702 "
4/30/2023,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,West,6,"$4,728 ",$706 
3/22/2024,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,North,7,$945 ,$125 
03/08/2022,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,North,4,$296 ,$65 
9/15/2023,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,West,4,$640 ,$150 
03/01/2023,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,North,1,$797 ,$65 
10/24/2023,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,North,4,"$1,456 ",$432 
4/22/2024,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,South,6,"$4,038 ",$364 
6/27/2023,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,West,7,"$5,656 ",$356 
4/13/2023,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,West,4,"$3,876 ",$302 
5/19/2023,Keyboard,Microsoft Surface Keyboard,Accessories,Computer Accessories,South,6,"$1,002 ",$115 
11/15/2024,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,East,9,"$2,187 ",$414 
12/25/2023,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,North,6,"$7,146 ","$1,627 "
3/31/2022,Keyboard,Microsoft Surface Keyboard,Accessories,Computer Accessories,South,1,$189 ,$15 
4/24/2024,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,East,5,$940 ,$266 
01/10/2022,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,North,1,$951 ,$128 
11/17/2022,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,East,2,$124 ,$27 
6/29/2024,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,West,9,"$7,506 ",$594 
11/14/2022,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,West,7,"$8,176 ","$2,309 "
08/11/2023,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,East,5,"$2,125 ",$633 
5/22/2024,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,North,1,$967 ,$60 
3/19/2022,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,South,5,$270 ,$29 
10/23/2022,Keyboard,Microsoft Surface Keyboard,Accessories,Computer Accessories,West,9,"$10,035 ","$1,486 "
2/26/2023,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,North,8,"$6,792 ","$1,125 "
10/03/2024,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,East,1,$714 ,$99 
7/17/2022,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,South,5,$765 ,$158 
11/04/2024,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,East,7,"$4,221 ",$358 
2/24/2023,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,North,4,"$2,108 ",$576 
08/08/2024,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,North,9,"$10,530 ","$2,388 "
5/14/2024,Keyboard,Microsoft Surface Keyboard,Accessories,Computer Accessories,South,6,"$3,396 ",$914 
1/15/2022,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,North,4,"$1,060 ",$213 
05/10/2022,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,East,5,$480 ,$73 
03/10/2022,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,West,3,"$2,529 ",$286 
1/23/2022,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,East,8,"$4,792 ",$512 
9/19/2024,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,East,8,"$8,056 ",$606 
06/06/2024,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,North,4,"$4,228 ",$948 
10/10/2024,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,East,1,$653 ,$94 
3/24/2024,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,North,9,"$7,452 ","$1,213 "
7/21/2023,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,East,4,"$4,128 ","$1,157 "
7/21/2022,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,West,5,"$5,090 ","$1,202 "
09/01/2022,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,North,5,"$4,930 ",$387 
4/20/2023,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,South,6,"$2,610 ",$434 
12/11/2023,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,North,3,"$2,139 ",$416 
9/29/2024,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,South,1,$226 ,$55 
11/20/2023,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,West,2,"$2,244 ",$212 
7/15/2023,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,East,6,"$3,150 ",$579 
12/24/2023,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,South,7,"$3,388 ",$347 
8/13/2023,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,East,8,"$8,736 ",$580 
4/24/2022,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,South,2,"$1,102 ",$177 
7/13/2024,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,East,3,"$2,640 ",$200 
06/11/2022,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,West,3,"$2,547 ",$301 
10/28/2024,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,North,7,$728 ,$65 
11/24/2022,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,South,7,"$3,444 ",$607 
10/03/2024,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,West,5,"$3,140 ",$854 
3/24/2024,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,East,3,$435 ,$129 
6/28/2024,Keyboard,Microsoft Surface Keyboard,Accessories,Computer Accessories,East,4,$856 ,$73 
5/31/2022,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,North,2,$112 ,$23 
3/25/2024,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,North,3,"$2,247 ",$508 
1/31/2023,Keyboard,Microsoft Surface Keyboard,Accessories,Computer Accessories,West,2,"$1,512 ",$299 
6/23/2024,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,South,5,"$4,915 ","$1,197 "
8/16/2023,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,South,3,"$2,709 ",$664 
06/10/2023,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,North,7,"$1,239 ",$118 
05/09/2023,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,West,2,$572 ,$86 
05/08/2022,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,North,2,"$1,708 ",$93 
11/06/2024,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,North,4,$360 ,$43 
12/08/2022,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,North,6,"$3,822 ",$388 
9/25/2022,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,North,6,"$4,680 ",$933 
07/10/2024,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,North,5,"$2,520 ",$487 
3/29/2024,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,North,2,"$2,138 ",$619 
01/11/2022,Keyboard,Microsoft Surface Keyboard,Accessories,Computer Accessories,West,3,"$2,529 ",$170 
04/08/2022,Keyboard,Microsoft Surface Keyboard,Accessories,Computer Accessories,East,1,$236 ,$29 
1/21/2024,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,West,6,"$2,730 ",$636 
4/27/2023,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,North,3,"$3,021 ",$872 
11/06/2024,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,North,2,$244 ,$17 
05/11/2022,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,South,8,$728 ,$120 
10/02/2022,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,North,3,$453 ,$89 
01/12/2022,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,South,1,$379 ,$84 
01/09/2023,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,West,3,"$2,130 ",$511 
05/04/2023,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,North,8,"$4,120 ",$710 
09/07/2024,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,South,7,"$3,150 ",$300 
5/17/2022,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,East,7,"$2,688 ",$603 
8/17/2023,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,East,2,"$1,752 ",$501 
09/07/2023,Keyboard,Microsoft Surface Keyboard,Accessories,Computer Accessories,North,7,"$7,308 ",$948 
05/11/2022,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,North,3,"$2,007 ",$161 
05/12/2023,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,West,7,"$7,224 ",$479 
05/08/2023,Monitor,Dell UltraSharp U2723QE 27' Monitor,Accessories,Computer Accessories,South,9,"$6,939 ","$1,249 "
2/18/2023,Smartphone,Samsung Galaxy S23 Smartphone,Electronics,Laptops & Mobile,East,7,"$5,516 ","$1,476 "
1/29/2022,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,South,2,"$2,224 ",$116 
01/12/2023,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,South,5,"$3,985 ",$824 
01/03/2022,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,North,7,"$2,723 ",$638 
10/20/2022,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,North,2,$746 ,$171 
8/21/2024,Laptop,Lenovo ThinkPad X1 Carbon Gen 11,Electronics,Laptops & Mobile,West,5,"$3,170 ",$245 
12/11/2023,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,East,5,$550 ,$63 
8/14/2022,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,North,8,$480 ,$132 
06/03/2024,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,East,4,"$3,284 ",$354 
1/23/2024,Smartwatch,Apple Watch Series 9,Electronics,Consumer Electronics,South,2,"$1,748 ",$184 
11/20/2023,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,North,8,$824 ,$241 
03/03/2022,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,North,4,"$1,872 ",$448 
2/20/2024,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,West,3,$627 ,$104 
08/09/2024,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,East,9,"$5,661 ","$1,104 "
6/19/2022,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,North,3,"$2,910 ",$765 
09/01/2024,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,South,9,"$9,036 ","$1,087 "
8/30/2024,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,West,5,"$4,815 ",$338 
08/12/2022,Mouse,Logitech MX Master 3S Wireless Mouse,Accessories,Computer Accessories,South,1,"$1,187 ",$206 
08/04/2022,Headphones,Sony WH-1000XM5 Noise Cancelling Headphones,Accessories,Consumer Electronics,East,3,"$3,339 ",$733 
2/20/2024,Tablet,Apple iPad 10th Generation,Electronics,Laptops & Mobile,East,1,$620 ,$165 
2/26/2023,Camera,Canon EOS 90D DSLR Camera,Electronics,Consumer Electronics,West,5,"$2,025 ",$414 
11/20/2024,Printer,HP LaserJet Pro M404dn,Office,Computer Accessories,East,5,"$3,030 ",$812 
